SongId,SongName,CCLINumber,Topic,Source
65,#3 - Vajtswv Thiab Peb Tus Tswv Yexus,No record to report,The tongue is a fire,HBNA Songbook
66,#30 - Be Thou My Vision,,Matthew 2:1-23,Xh Thai's Hymnal Book
67,"#30 - Vajtswv, Kuv Txav Los Cuag Koj",No record to report,All the Same,HBNA Songbook
68,#31 - Tswv Yexus Thov Koj Mloog Kuv Thov,No record to report,Repentance is God’s desires,HBNA Songbook
69,"#32 - Vajtswv, Thov Koj Tshuaj Xyuas",No record to report,Seng Led Worship (Unknown Topic),HBNA Songbook
70,#348 - Haleluyas Qhuas Tswv Yexus,No record to report,Life is incomprehensible in a sinful world,HBNA Songbook
71,"#37 - Tswv Yexus, Koj Yog Tus Hlub Kuv",No record to report,God is Love,HBNA Songbook
72,#4,,,HBNA Songbook
73,#4 - Koj Yog Vajtswv,14181,God is Good (He is the good Shepherd),HBNA Songbook
74,#40 - Yexus Hlub Kuv,,Jesus Saves Sinners,HBNA Songbook
75,#47 - Kuv Zoo Siab Kuv Ntseeg Tswv Yexus,,Worshipers and Murderers,HBNA Songbook
76,"#48 - Kuv ua Koj Tsaug, Tus Tswv Yexus",No record to report,Guest Speaker Week (Unknown Topic),HBNA Songbook
77,"#5 - Vajtswv, Peb Los Qhuas Koj",,God With Us,HBNA Songbook
78,#55 - Tswv Yexus Lub Npe Muaj Hwjchim,,Jesus Saves Sinners,HBNA Songbook
79,#55 - Tus Tswv Yexus Yeej Yog Txojkev,No record to report,Seng Led Worship (Unknown Topic),HBNA Songbook
80,#56 - Thaum Tswv Yexus Txhiv Peb Lub Txim,No record to report,Xh Chongpao Thao Led Sermon,HBNA Songbook
81,#57 - Kuv Tus Kwvluag,,Matthew 2:1-23,HBNA Songbook
82,#57 - Kuv Tus Kwvluag Yog Tswv Yexus,Public - No reporting needed,Tlu Church,HBNA Songbook
83,#59 - Txij Hnub Kuv Lees Yuav Tswv Yexus,No record to report,Xh Neejmais Led Sermon,HBNA Songbook
84,"#6 - Vajtswv, Vajtswv, Vajtswv",Public - No reporting needed,Death was the price,HBNA Songbook
85,"#6 - Vajtswv, Vajtswv, Vajtswv ",,Matthew 2:1-23,HBNA Songbook
86,#60 - Thaum Peb Los Ntseeg Tswv Yexus,No record to report,All the Same,HBNA Songbook
87,#62 - Peb Cov Ntseeg Tswv Yexus,No record to report,The power of unity,HBNA Songbook
88,#74 - Vajtswv Tus Ntsujplig Thov Koj,No record to report,A woman worthy of praise,HBNA Songbook
89,#77 - Tus Uas Sawm Zoo,No record to report,All the Same,HBNA Songbook
90,#78 - Vajtswv Phau Ntawv,No record to report,Life is incomprehensible in a sinful world,HBNA Songbook
91,#79 - Peb Sawvdaws Yuav Tsum Nyeem Vajtswv Lus,No record to report,Txl Nplooj Led Sermon,HBNA Songbook
92,"#8 - Vajtswv, Koj Muaj Hwjchim",Public - No reporting needed,Txl Tsavhaumxeeb Led Sermon,HBNA Songbook
93,#8 - Vajtswv_x000B_Koj Muaj Hwjchim,,,HBNA Songbook
94,#82 - Leejtwg Txhiv Tau Peb Lub Txim,Public - No reporting needed,Death was the price,HBNA Songbook
95,#89 - Kuv Yuav Tsa Cov Ntseeg Vajtswv,No record to report,The power of unity,HBNA Songbook
96,"#9 - Los, Nov Yog Lub Caij Peb Pehawm",,Jesus Saves Sinners,Xh Thai's Hymnal Book
97,#90 - Vajtswv Hu Peb Los Ua Nws Haivneeg,No record to report,Holiness is demand by the Lord in the church,HBNA Songbook
98,#91 - Cov Kwvtij Hmoob,No record to report,The beauty of the bride: LOVE,HBNA Songbook
99,#95 - Kuv Twb Xais Tag Lawm,Public - No reporting needed,Faithfulness,HBNA Songbook
100,#95 - Kuv Twb Xaiv Tag Lawm ,,Worshipers and Murderers,HBNA Songbook
101,#97 - Tus Tswv Yexus Hlub Peb Sawvdaws,No record to report,Repentance is God’s desires,HBNA Songbook
102,#99 - Cov Uas Ntseeg Tswv Yexus Muaj Chaw Nyob,No record to report,Seng Led Worship (Unknown Topic),HBNA Songbook
103,#99 - Cov Uas Tseeg Tswv Yexus Muaj Chaw Nyob,,Matthew 2:1-23,HBNA Songbook
104,"10,000 Reasons",6016351,40th Year Anniversary,Contemporary
105,Abide,,Youth Lead (English Service),English Hymn
106,All Creatures of Our God and King,,Youth Lead (English Service),English Hymn
107,Amazing Grace,,Youth Lead (English Service),English Hymn
108,Anywhere,,Youth Lead (English Service),English Hymn
109,At Your Name,,Youth Lead (English Service),English Hymn
110,Be Thou My Vision,Public - No reporting needed,Txl Txawjsong Led Sermon,English Hymn
111,Blessed Assurance,,Youth Lead (English Service),English Hymn
112,Follow You,,Youth Lead (English Service),English Hymn
113,Haleluyas Qhuas Vajtswv,,,Hmong Hymn
114,Here I am to Worship,,,Contemporary
115,Nws Lub Npe,,Youth Lead (Vamyeejkoob & Sheng not available),Hmong Hymn
116,Tus Ntseeg,,Youth Lead (Vamyeejkoob & Sheng not available),Hmong Hymn
117,Yexus Tibleeg,,,Contemporary
118,You Raise Me Up,4434612,40th Year Anniversary,Contemporary
